t,type,port,from,to,reason,raw,t_rel_s,t_bin_s,sample_idx,scenario,run_id,role
16514.411,ptp_timescale_mismatch,,,,,ptp4l[16514.411]: foreign master not using PTP timescale,150.61599999999999,151,39,high,run08,boundary
16515.438,state,2.0,MASTER,FAULTY,FAULT_DETECTED,ptp4l[16515.438]: port 2: MASTER to FAULTY on FAULT_DETECTED (FT_UNSPECIFIED),151.6429999999982,152,40,high,run08,boundary
16531.442,state,2.0,FAULTY,LISTENING,INIT_COMPLETE,ptp4l[16531.442]: port 2: FAULTY to LISTENING on INIT_COMPLETE,167.64699999999903,168,41,high,run08,boundary
16539.38,state,2.0,LISTENING,MASTER,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[16539.380]: port 2: LISTENING to MASTER on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,175.58500000000095,176,42,high,run08,boundary
16539.38,best_master,,,,c2d4d1.fffe.e1b008,ptp4l[16539.380]: selected best master clock c2d4d1.fffe.e1b008,175.58500000000095,176,43,high,run08,boundary
16539.38,ptp_timescale_mismatch,,,,,ptp4l[16539.380]: foreign master not using PTP timescale,175.58500000000095,176,44,high,run08,boundary
16540.404,state,2.0,MASTER,FAULTY,FAULT_DETECTED,ptp4l[16540.404]: port 2: MASTER to FAULTY on FAULT_DETECTED (FT_UNSPECIFIED),176.60899999999856,177,45,high,run08,boundary
16556.408,state,2.0,FAULTY,LISTENING,INIT_COMPLETE,ptp4l[16556.408]: port 2: FAULTY to LISTENING on INIT_COMPLETE,192.61299999999937,193,46,high,run08,boundary
16562.59,state,2.0,LISTENING,MASTER,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[16562.590]: port 2: LISTENING to MASTER on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,198.79500000000007,199,47,high,run08,boundary
16562.591,best_master,,,,c2d4d1.fffe.e1b008,ptp4l[16562.591]: selected best master clock c2d4d1.fffe.e1b008,198.79600000000028,199,48,high,run08,boundary
16562.591,ptp_timescale_mismatch,,,,,ptp4l[16562.591]: foreign master not using PTP timescale,198.79600000000028,199,49,high,run08,boundary
16563.616,state,2.0,MASTER,FAULTY,FAULT_DETECTED,ptp4l[16563.616]: port 2: MASTER to FAULTY on FAULT_DETECTED (FT_UNSPECIFIED),199.82100000000173,200,50,high,run08,boundary
16579.619,state,2.0,FAULTY,LISTENING,INIT_COMPLETE,ptp4l[16579.619]: port 2: FAULTY to LISTENING on INIT_COMPLETE,215.8239999999987,216,51,high,run08,boundary
16587.453,state,2.0,LISTENING,MASTER,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[16587.453]: port 2: LISTENING to MASTER on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,223.65800000000127,224,52,high,run08,boundary
16587.454,best_master,,,,c2d4d1.fffe.e1b008,ptp4l[16587.454]: selected best master clock c2d4d1.fffe.e1b008,223.65900000000147,224,53,high,run08,boundary
16587.454,ptp_timescale_mismatch,,,,,ptp4l[16587.454]: foreign master not using PTP timescale,223.65900000000147,224,54,high,run08,boundary
16588.479,state,2.0,MASTER,FAULTY,FAULT_DETECTED,ptp4l[16588.479]: port 2: MASTER to FAULTY on FAULT_DETECTED (FT_UNSPECIFIED),224.6839999999993,225,55,high,run08,boundary
16604.482,state,2.0,FAULTY,LISTENING,INIT_COMPLETE,ptp4l[16604.482]: port 2: FAULTY to LISTENING on INIT_COMPLETE,240.6869999999999,241,56,high,run08,boundary
16612.439,state,2.0,LISTENING,MASTER,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[16612.439]: port 2: LISTENING to MASTER on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,248.6439999999984,249,57,high,run08,boundary
16612.439,best_master,,,,c2d4d1.fffe.e1b008,ptp4l[16612.439]: selected best master clock c2d4d1.fffe.e1b008,248.6439999999984,249,58,high,run08,boundary
16612.439,ptp_timescale_mismatch,,,,,ptp4l[16612.439]: foreign master not using PTP timescale,248.6439999999984,249,59,high,run08,boundary
16613.465,state,2.0,MASTER,FAULTY,FAULT_DETECTED,ptp4l[16613.465]: port 2: MASTER to FAULTY on FAULT_DETECTED (FT_UNSPECIFIED),249.67000000000007,250,60,high,run08,boundary
